key,author,date,stars,title,helpful_yes,helpful_no,text
0_breyers,FloydK,2017-10-01,1,Not the Breyer's you remember,45,2,"I hadn't purchased Breyers ice cream in a while and had a taste for some ice cream so I picked some up. I remembered it as a high quality ice cream with a little lower butterfat than the super premium brands and a nice refreshing light pure flavor to it.
When I opened the package, I noticed that the ice cream had obviously melted and re-frozen somewhere along the supply chain. It was all frozen to one side of the container, strike one. Then I scooped it out, hmmm, the texture didn't seem quite right, it was soft and marshmallow like, strike two. Then I tasted it, ugh, awful. No flavor except sweet, all air, fluffy texture. This just didn't seem right, what's the problem? Then I checked the ingredients, yep, full of gums and stabilizers and with a butterfat content so low, they can't even call it ice cream any more. If it hadn't had the Breyer's name on it, I would have checked ingredients before purchase but I couldn't imagine that Unilever would take a great brand like Breyer's and completely destroy it, they did, strike three. It was so bad I threw the entire package away. If you are expecting the Breyer's from the past, you will be sadly disappointed."
0_breyers,Des1,2018-05-29,4,Disappointed about the ingredients change,45,3,"The taste of Breyer's vanilla ice cream declined when the ingredients changed to include gum and added flavoring. Vanilla ice cream ought to consist of only milk/cream, sugar and vanilla beans (or extract)."
0_breyers,Meme,2018-04-15,2,Dissapointed,19,0,I am disappointed to discover they added vegetable gum. I bought Breyers for its purity. I no longer like the texture. And it no longer tastes like old fashioned real ice cream. It's very disappointing.
0_breyers,BettyCrocker2,2018-01-10,1,Flavorless,33,1,This product has absolutely NO flavor. Breyer's natural vanilla was my favorite ice cream of all time. Not anymore. What happened?
0_breyers,KarenM,2019-02-20,1,So disappointed! You ruined a classic!,11,0,"I grew up eating Breyers Vanilla ice cream. I loved the vanilla bean specks, the creaminess, how it took some effort to scoop out of the container, the puddle of cream left as it melted in the bowl. I haven't had any in years, and wanted some for the past few weeks. Finally picked some up today at the grocery store. So disappointed! The first difference I noticed was the texture. My freezer gets really cold, and I expected to have a tough time scooping it out at first. Nope! It was like fluff. Scooped right out like marsh mellow cream. Bad sign. Then, I tasted it. I couldn't finished my bowl. Gone was the decadent texture, and the flavor changed too. Less rich somehow. I'm sure Breyers has some ""market trends, cost, taste test"" answer to this, but I really don't care. You had great ice cream for decades and you ruined it. Never buying it again, unless you take out the tara gum and go back to your classic recipe."
0_breyers,little v,2020-04-14,4,Please add a reduced sugar version!,0,0,"When i'm craving vanilla icecream, I still go to Breyers Natural Vanilla icecream. However, i noticed this past time how overly sweet it is. And i'm not a fan of brands claiming 'Sugar free' or 'No sugar added' because i don't like the ingredients put in to fake the sweet flavor. A lot of other brands like Lays potato chips have a reduced sodium version, chobani flips has a reduced sugar version, could breyers come out with that happy medium for those like me who still want real sugar, but not 14 added grams per serving! I'm sure it would taste just as good, if not better! I would definitely indulge and buy this product more frequently if so!"
0_breyers,Sue z q,2019-01-17,1,Bring back the original,19,0,"I will pay extra for ice cream that has only milk, cream, sugar and vanilla. At least bring back vanilla, chocolate, strawberry"
0_breyers,Lorenzo,2019-02-04,1,Another recovering Breyers addict,12,0,"They lost me when they glopped up the mouthfeel with the unappetizingly named ""vegetable gum,"" and now that I have come to know that so-called ""natural flavor"" is anything but, I refuse to aid this deceit by funding it with my dollars. Wake up, people!"
0_breyers,Unilever sucks,2018-07-02,2,Natural Vanilla?,11,0,What are the cows fed? Grass? GMO Corn? Why don't the ingredients say Vanilla? Is it actually Vanillian? (wood pulp) Is that why you can say natural ingredients? Unilever bought Ben & Jerry's and ruined them to. Now you can only eat ice cream you make yourself.
0_breyers,Randolph,2018-11-18,1,Corn Syrup? Really?,13,0,"Sad to see a brand with integrity sell out for the few bucks saved by using corn syrup. Good bye after decades of loyalty, I've moved on to Turkey Hill."
0_breyers,Prof Cannabidoid,2019-08-09,1,Bring back Natural Vanilla w/ Vanilla Bean Specks,5,0,"This ""new"" flavor of vanilla completely misses the mark when it comes to a true vanilla bean flavor. I bought this flavor thinking it was the ""old"" flavor of vanilla (Natural Vanilla with vanilla bean specks.) This flavor has absolutely no hint of true vanilla. Frankly, it is horrible and not any better than any run-of-the-mill superstore-grade vanilla ice cream, except for it's lack of diglycerides. Breyers, please bring back the Natural Vanilla with Vanilla Bean Specks!"
0_breyers,DisappointedToo,2020-01-31,1,Unilever ruined Breyers,3,0,"Seems when Breyer's sold out to Unilever years ago the brand was heavily cheapened. Most ice cream makers have started adding gum to their product to stabilize it during shipping. Unfortunately it makes the ice cream unbearable to the tongue. It's nothing like real ice cream any more. Breyer's has succumbed to industry trends rather than maintaining a quality product that we all came to love and support.
I personally never minded paying a little more money for a quality product. They've cheapened it and shrunken the container portion, yet still charge a hefty price.
The only brands I have found that still make real ice cream are Hagan Daz and Turkey Hill. And Blue Bunny Vanilla, but it comes in a plastic container. So I won't buy it."
0_breyers,Spgreig,2020-07-08,1,No specks,2,0,I’m upset that both 1.5Qt containers of the “Natural Vanilla” from two different stores both lacked the little black specks I have come to love and expect.
0_breyers,Bonbon,2018-07-11,2,Not natural anymore,11,0,I bought Breyer because it was the best ice cream no chemicals most natural ice cream on the market now you have ruined it
0_breyers,Jimmy,2020-04-04,1,Way too sweet,4,0,"I rarely eat ice cream these days but bought this just to have around for the occasional indulgence. Breyer’s used to be our standard way back so this was the logical choice. I tried a spoonful and was immediately turned off by how over the top sweet it was to the point it doesn’t taste like ice cream. It’s now in the sink melting so I can flush it down the toilet.
Visiting your website I see you have a no added sugar version. Why add any in the first place?
Very disappointed."
0_breyers,No agar gum,2020-06-13,5,Try turkey hill all natural,21,2,I had the same issue with breyers. I finally found turkey hill all natural ice cream. Don’t settle for fillers. Eat natural
0_breyers,G S S,2019-06-18,1,Recipe Ruined by Tara Gum,4,0,"The Natural Vanilla recipe change to include Tara Gum changes the texture and more importantly, the flavor in negative ways. The previous rich and creamy vanilla flavor profile now has an “off” taste that takes away the previously perceptible vanilla beans. This was previously the go-to ice cream. Now? I tried for a while but I will not be buying again and will find a better replacement without the funky gum flavor until at least the classic recipe comes back as an option."
0_breyers,MelC,2019-02-06,1,When Did You Change the Ingredients???,8,0,I haven't purchased this product in awhile and was so surprised today to find out that you had cheapened the ingredients. Vegetable gum and natural flavor - what a disappointment. You've lost a customer. Now I will be looking for an alternative.
0_breyers,Sabine,2019-02-05,1,Frozen Dairy Dessert & Corn Syrup?,7,0,"Boy, was I surprised when I got my Bryers home only to discover it is a “frozen dairy dessert“, not even ice cream, and that the second ingredient is corn syrup. Will not be purchasing it again. Much different from what Breyers used to stand for."
0_breyers,Louis,2020-08-14,1,Deceptive Packaging,0,0,"I sent a co worker to purchase vanilla ice cream for an office event. The Breyers Natural Vanilla was on the shelf with all the Breyers ice creams. She quickly grabbed 4 containers of the Natural Vanilla. To our surprise when serving this was badically ice milk. It totally ruined the cake it was served with. We all looked at the container to see the front of the container listed cream, sugar and milk. However, the actual ingredients on the side says the ingredient (largest ingredient) was milk! The thin icy cosistency was not what was expected. Breyers needs better packaging to identify what the product is, ice milk."
0_breyers,PreferItClean,2018-12-26,1,Don't like the flavor and texture changes,11,0,"I am interested in the flavoring components used. I notice that the ingredients list does not mention vanilla beans or vanilla, only ""natural flavors"". There is a statement on the box about the characteristics of the vanilla used (which are good), and it states that all the flavors used are ""natural"", but that all leaves it pretty obvious that there are other flavoring agents besides vanilla...
I have heard that a common component in ice cream nowadays are ingredients coming from non-vegetable sources, such as ground-up beetle shells. Do you also include non-vegetable sourced flavoring agents in Breyer's Natural Vanilla?
Regarding the review titled ""Better before"", I must agree with this reviewer. There was a day when you advertised the vanilla bean specks, and you could really see them; not so much any more. But that's not the main issue. The flavor was much better back then; Breyer's was the only manufacturer with a vanilla ice cream that had good flavor, from my perspective, but not since you changed your recipe. I still like the mint chocolate chip ice cream -- it is one of my favorites -- but you lost me with the vanilla. I don't even like it on top of pie anymore, much less by itself.
Then, on top of the flavor changes you made, you are gunking it up with gum.
That has been very disappointing. I don't know why you thought you had to change the recipe, much less stick with the change. Coca-Cola, back in the day when they came up with their new Coke at least had the sense to go back to their classic recipe.
I don't recommend your vanilla to anyone anymore. I used to recommend it all the time."
0_breyers,Champagne,2018-12-21,2,Too lightweight and whipped,6,0,"We have been Breyers customers for YEARS and so have my parents that are 85. The last year or so Breyers reformulated the natural vanilla to a whipped/lightweight consistency. Unfortunately, we now are trying other brands because its the same taste but its pumped up with air! :("
0_breyers,Sadcustomer,2019-01-13,1,Corn syrup. - I knew it didn’t taste as good!,7,0,"What happened Breyers?! Why the corn syrup? It doesn’t taste as good and it’s so unhealthy! You guys used to be my go to, but this is my last purchase."
0_breyers,JP66,2018-08-31,2,Not nearly the same,5,0,"Prior to September 11th 2001, Breyer’s Vanilla Bean Vanilla was one of only two ice creams served at “Windows on the World”, the restaurant on the 107th floor of the World Trade Center. This new version would never have continued the distinctive tradition. I mean “Really”, do we need FOUR different Vanilla’s from the same manufacturer?"
0_breyers,Chuck,2017-09-27,3,Good but gummy,11,1,"It was better before breyers added gum to it. Still ok, but not as good as it was"
0_breyers,Blove,2020-05-15,1,Disappointed,5,0,I'm extremely disappointed in how natural vanilla has changed over the past couple of years. This last carton didn't have one speck of vanilla bean and the texture has completely changed due to vegetable gum (Tara). This used to be the only vanilla ice cream I would buy. Now I'm on the hunt to find a new brand.
0_breyers,Galvez33,2018-08-07,2,Weird consistency,7,0,Does not melt! Not real ice cream! It needs to change..
0_breyers,UsedtoloveBreyers,2019-06-21,1,Sad excuse for a once great Ice Cream,4,0,"I used to LOVE Natural Vanilla ice cream that contained Cream, Milk, Sugar and REAL Vanilla Beans. Not this poor excuse you currently put out. I've been wondering why the taste has been different, not as Vanilla tasting, and just not as good as it used to be. It doesn't even melt properly. Will no longer purchase any Breyers products until they remove the garbage they now put in it."
0_breyers,Grammy43,2020-04-22,1,Breyer’s Natural Vanilla Bean ice cream USED to be,4,0,"Years ago I used to buy nothing but Breyers Natural Vanilla Bean ice cream. It was even kept in the natural food freezer, not with the other, regular ice creams. Then you started adding Tara, vegetable gum. It totally changed the homemade texture. I understand that many people prefer the creamy texture of other ice creams and allows more air to be mixed into the ice cream, making it fluffier. It also allows you to put less ice cream into the container. I noticed that this new recipe creates a lighter product (weight wise). I prefer the icy hand cranked texture. It even melts differently now. If I left it on the counter a bit too long, and it melted a bit, the melted ice cream would still be edible when it re froze. Not any more. It melted differently in your mouth even. I’m sad to say I will be hand cranking my ice cream from now on. You gave me and my family a few years of the absolute perfect ice cream!"
0_breyers,A E,2020-06-07,1,dad gummit,4,0,"If Breyers is formulated ""to provide desired flavor, appearance, consistency, and nutritional value and maintain those qualities during storage and use"" how does Haagen-Dazs do it without gum? They are in the same freezer case... and I walk past the Breyers to buy Haagen Dazs because it tastes just fine (or better..) and has no gum. It's a mystery...."
0_breyers,IceCream Snob,2020-08-30,4,Taste & Natural - win/win,0,1,"I’m a chocoholic, and an ice cream snob, and loath anything that tastes to sweet, as I grew with homemade ice cream every Saturday night, with fresh ingredients. While it is not the ice cream of old, (PA 50+yrs ago), it is the best. I/we could eat it everyday ... in large amounts, if I/we didn’t discipline myself/ourselves (entire family). Unfortunately, chocolate tastes to sweet these days, as I cut sugar intake to 1/2 or 0, just like salt. There is a coffee w dark chocolate pcs in another brand that is another favorite when we are out and about... loved this flavor since junior high (Howard Johnson’s)."
0_breyers,Jakedc,2019-10-03,1,Not like I remembered when I went to grandad house,3,0,I remember getting to go stay with the grandparents and grandad always kept vanilla bean in the freezer it was so good with late night tv. Picked this up at the store the other day. Ate some this evening while I tried to have nostalgia all I got was disappointment. Why do people change things and think they are making it better. Sad . I don't understand why you cant just release a vanilla bean.
0_breyers,myhoneyrose,2019-08-28,1,Will Never be the same!,2,0,"I used to love Byers All Natural Vanilla Ice Cream. Nothing could compare. Just to let you know I would take a few Ice Crystals over the gum mess you have added. I can not stand the texture. Why can't you offer all of use Old School customers the option of your old recipe. Even Coke knew when to go back to the ""Real Thing"". In your questions I stated I purchased this several times a month. I did back when it was real. Prior to 2006-2007. I know choose another company."
0_breyers,Ice cream snob,2019-04-28,1,I used to love bryers vanilla ice-cream,4,0,When did you change it? It used to be so good and and natural tasting and white with flecks of vanilla bean. Now it tastes like ever other Cheap processed ice I out there. So disappointed.
0_breyers,Daniel,2020-03-22,2,"Awesome tasting, recently changed",2,0,Breyers natural vanilla has been my go-to ice cream for years on account of the fact that I'm allergic to basically every other brands ice cream except for a couple. Recently they stopped including vanilla bean in it or at least this last carton I bought did not have vanilla bean in it. This is a huge mistake on their part if this is a permanent change. The actual vanilla bean parts and ice cream give it a unique taste and make it way better in my opinion.
0_breyers,Anonymous,2020-02-10,1,Why would they do something so dumb?,2,0,"I always bought the Natural Vanilla, because it was simply milk, cream, sugar, and vanilla. They did a big ad campaign around that at one point. Why would you add gum to that? They have a handful of different vanillas. Why not leave this one alone and keep the customers who wanted that? I was especially annoyed that there was not notice of it. I just looked one day for some reason. Anyway, yuck. No reason to ever buy Breyers again."
0_breyers,agincourt,2020-09-11,1,No Vanilla bean in this ice cream,0,0,"Actual Vanilla beans are small black specks scraped from the inside of a vanilla pod. Look closely at Breyers Natural Vanilla ice cream. You will not find any black specs. Read the
ingredients, again no mention of vanilla bean. I suspect they are using natural vanilla extract among other ""vanilla"" flavors. Real Vanilla beans bring an intense vanilla flavor.
Breyers natural flavor vanilla ice cream has no intense vanilla flavor. It is very flat. It is no longer a quality ice cream. Real vanilla beans are very expensive. Try pricing them at your grocery store. I understand why they are not using them anymore, but their advertising is very deceptive.
No longer impressed with Breyers quality."
0_breyers,LAandPalmSprings,2020-10-01,3,Beware! Natural Vanilla Problems,0,0,"October, 2020. In Southern California, Natural Vanilla is now the package name for two different products. The one showing 170 kcal for a 2/3 cup serving is the recipe we all know. The one showing 210 kcal for a 2/3 cup serving is a different color (yellowish), creamier, with a definite taste and consistency of an additive like a thickening agent. Why are they marketing two different products under the classic Natural Vanilla packaging? Can't get an acceptable answer. Don't buy this product unless you see the 170 kcal noted on the front. The substitute is awful."
0_breyers,Slapjackbilly,2019-05-07,1,What’s with the vegetable gum?!,3,0,"Remove the vegetable gum and list wether or not nothing is added is added to to the cream and I’ll give 5 stars.
Most companies add stabilizers and smoothening agents to cream. So please state %100 pure cream so we know there is nothing added."
0_breyers,CJMom,2019-09-03,1,Did you chane your formula?,2,0,"Over the last few months I have notice the natural vanilla has a 'caramel-like' taste to it? Have you changed your formula? If you did, PLEASE change it back. This ice cream used to have a wonderful taste. Now it leaves a terrible after taste and it is very disappointing because this was our go to ice cream. I really don't want to switch to another brand but I will if I have to."
0_breyers,Ruger,2019-08-01,1,Please Bring BACK the original Breyers Ice Cream !,2,0,"By adding vegetable gums to the ice cream recipe, Breyers ice cream has been contaminated. The consistency is now terrible, just like other fake ice creams. Please bring back our beloved Breyers Natural Vanilla with NO gum added. Unilever has corrupted the wonderful natural ingredients by adding alien substances which DO NOT belong in ice cream!"
0_breyers,Barbie70,2020-04-19,2,Not the same,3,0,Breyers was once the Best ice cream because it WAS ALL natural. But not anymore. Why do they have to change?
0_breyers,Private,2019-12-24,1,Natural Vanilla,0,0,"If when you open a new carton of ice cream, it’s half full, and looks like a melted brick, and tastes like it’s a year old already, with no obvious quality control, buy Brewers ice cream!!! Or you can just through $5.00 in the trash."
0_breyers,Stuie,2019-05-18,1,Disappointed,3,0,"Very disappointed. Not very vanilla tasting, like it used to be. Over quality just fair."
0_breyers,Oceana,2019-09-12,1,They ruined my favorite ice cream,2,0,I was shocked to see that gum is now added to the natural vanilla. I don't care if it is a vegetable based product. I read the reasoning behind adding it to the customer service responses but I am not impressed. We loved the Breyer's Naturals line because it had simple ingredients and no gum. It was creamy enough without the gum and the formation of ice crystals with temperature fluctuations means it is real ice cream! Listen to your customers. Take the gum out. Maybe you are starting to use inferior ingredients to cut costs and have to add gum to compensate but are using this lame excuse to justify it in the mix. I have been eating Breyer's vanilla with vanilla bean since I could eat ice cream. You slowly ruined all of my other favorite flavors like butter pecan with garbage ingredients that make my whole family sick. Now we have had to switch to Haagen Dazs or making my own. My dad can get Turkey Hill vanilla where he lives and that still has no gums.
0_breyers,Frost,2020-04-29,1,In Need Of The Old Fashion Breyers Vanilla Bean,3,0,"Here I sit for the 5th week of quarantine of the worldwide pandemic virus of all time not being allowed out by my husband due to being a potential person. And he cannot find anywhere what I am telling him I want Breyers Vanilla Bean ice cream. He tells me he cannot find it in any of the grocers where we live. Then I happen to remember the name change several years back so I go to Breyers.com. Imagine my disappointment reading a lot of the reviews since the change. Now I’m almost afraid to tell him to keep looking now that I know the correct name. It seems the true lovers of that old fashion, families gathered under huge oak trees and everyone taking turns to crank that old turn crank ice cream maker, kids skipping around waiting impatiently sticking their fingers in the ice to taste the salt to finally taste that impeccable creamy, sweet, with specks of something that made that white cold frozen dessert taste like heaven. That’s what the old version of Breyers Vanilla Bean ice cream tasted like to me. Old fashioned turn crank ice cream. I would dip it out as frozen scoops but stir and stir it till it became the creamy smooth specialty that always brought me those memories. Why oh why did you have to mess with something so perfect."
0_breyers,Mary19,2019-04-22,2,Ingredients have changed,2,0,"We used to love Breyers natural vanilla and the vanilla/chocolate. Lately, we noticed that the ice cream tastes different, no longer gets hard in freezer, and often gets freezer burned. Breyers is adding vegetable gums to the ice cream, so this might be the problem. It's too bad because we were fans of Breyers for decades."
0_breyers,ICECREAMPERSON,2020-07-25,1,NO LONGER THE BUTTER PECAN WE'VE LOVED FOR YEARS..,1,0,"BREYERS WHAT HAVE YOU DONE TO YOUR ICE CREAM? JUST PURCHASED 2 HALF GALLONS, BUTTER PECAN ( My favorite of all time) and MINT CHOCOLATE CHIP...THE MINT STILL DELICIOUS...THE BUTTER PECAN WAS LITERALLY AWFUL! NO LONGER SAYS ICE CREAM ON THE CONTAINER...READ LABELS NOW MANY OF THEIR ICE CREAMS HAVE BECOME SOMETHING ELSE...IF IT DOES NOT SAY ICE CREAM...BEWARE YOU MAY BE VERY DISSAPOINTED! HAD TO THROW OURS OUT...THE PECANS TASTED LIKE FISH AND THE CREAM PART TASTED ARTIFICIAL."
0_breyers,Paul,2020-05-11,2,Where's the beans??,2,0,ever since I was a kid I loved buying Breyers vanilla/chocolate/ strawberry neopolitan ice cream. Now I buy it and no Vanilla bean with the little specs. I know vanilla has gotten more expensive but. Totally different flavor now. I am not satisfied. I hope you are hearing alot of this so you change it back!!
0_breyers,isabelb38,2020-06-21,5,,0,0,"This ice cream taste incredibly good! I love all of Breyers ice cream flavors, especially the natural vanilla! Highly recommend this brand!"
0_breyers,mossman11,2020-08-10,4,No longer contains vanilla bean specks,2,0,"This product no longer has specks of vanilla in it. Thus, the photo on the box is misleading. Best aspect is lowest fat content of all major brands. Taste is still OK, but not as good as before. Also, they used to have a natural coffee flavor. The new coffee ""frozen dessert"" is horrible."
0_breyers,pity4602,2020-06-04,3,,0,0,It had a really strange consistency after a while and it tasted like a mouthful of chemicals. In a way it wasn't that bad but it just kind of melted REALLY fast and turned into a mucky goop of stickiness.
0_breyers,SusanK34,2017-07-26,5,Excellent vanilla ice cream!,1,7,"Breyer's Natural Vanilla is exactly what its name suggests: a naturally delicious ice cream with no artificial anything. It has a smooth, creamy texture and a sweet yet rich vanilla flavor. If I were to make my own vanilla ice cream, this is how I would want it to turn out. This frozen dessert makes the perfect base for a sundae, a delicious topping on pie or cobbler, or a delightful treat all by itself. My favorite way to enjoy it is right of the container, allowing the wonderful flavor to have the spotlight. I highly recommend it."
